"Item","HPP","fit","se","lower","upper"
"Familiar",1,7716.27840136546,581.225288587062,6569.21030733449,8863.34649539643
"Novel",1,6887.61272024414,581.225288587064,5740.54462621317,8034.68081427512
"Familiar",2,7073.47216995488,538.078526742082,6011.55569414314,8135.38864576661
"Novel",2,6910.36433377441,538.078526742083,5848.44785796267,7972.28080958615
"Familiar",3,6430.66593854429,637.418188667979,5172.6992238587,7688.63265322988
"Novel",3,6933.11594730468,637.41818866798,5675.14923261909,8191.08266199027
"Familiar",4,5787.8597071337,829.543956041287,4150.72618377247,7424.99323049494
"Novel",4,6955.86756083495,829.543956041287,5318.73403747371,8593.00108419619
"Familiar",5,5145.05347572312,1065.38827861982,3042.47307160789,7247.63387983835
"Novel",5,6978.61917436522,1065.38827861982,4876.03877024999,9081.19957848045
