"hpp","item","fit","std_error"
0.9,"Familiar",7193.28276448734,552.200881704379
1,"Familiar",7139.31608464997,542.34238077469
1.1,"Familiar",7085.34940481261,533.370545960188
1.2,"Familiar",7031.38272497524,525.330807868359
1.3,"Familiar",6977.41604513787,518.266546458114
1.4,"Familiar",6923.4493653005,512.218123209109
1.5,"Familiar",6869.48268546314,507.22187984584
1.6,"Familiar",6815.51600562577,503.309151644471
1.7,"Familiar",6761.5493257884,500.505350568853
1.8,"Familiar",6707.58264595103,498.829176022481
1.9,"Familiar",6653.61596611366,498.292007600692
2,"Familiar",6599.6492862763,498.897524458112
2.1,"Familiar",6545.68260643893,500.641580440919
2.2,"Familiar",6491.71592660156,503.512344740993
2.3,"Familiar",6437.74924676419,507.490697088143
2.4,"Familiar",6383.78256692683,512.550847272433
2.5,"Familiar",6329.81588708946,518.661133624463
2.6,"Familiar",6275.84920725209,525.784945685763
2.7,"Familiar",6221.88252741472,533.881713276632
2.8,"Familiar",6167.91584757736,542.907907031061
2.9,"Familiar",6113.94916773999,552.818002914835
3,"Familiar",6059.98248790262,563.565373546751
3.1,"Familiar",6006.01580806525,575.103080551022
3.2,"Familiar",5952.04912822789,587.384553203356
3.3,"Familiar",5898.08244839052,600.364148254025
3.4,"Familiar",5844.11576855315,613.997593447971
3.5,"Familiar",5790.14908871578,628.242322750753
3.6,"Familiar",5736.18240887842,643.057714761955
3.7,"Familiar",5682.21572904105,658.405247563168
3.8,"Familiar",5628.24904920368,674.24858368914
3.9,"Familiar",5574.28236936631,690.553598411556
4,"Familiar",5520.31568952894,707.288363424516
4.1,"Familiar",5466.34900969158,724.423096592423
4.2,"Familiar",5412.38232985421,741.930086869123
4.3,"Familiar",5358.41565001684,759.783601962386
4.4,"Familiar",5304.44897017947,777.959784888971
4.5,"Familiar",5250.48229034211,796.436544291065
4.6,"Familiar",5196.51561050474,815.193442284921
4.7,"Familiar",5142.54893066737,834.211582687885
4.8,"Familiar",5088.58225083,853.473501710017
4.9,"Familiar",5034.61557099264,872.963062583941
5,"Familiar",4980.64889115527,892.665355121926
5.1,"Familiar",4926.6822113179,912.566600812356
5.2,"Familiar",4872.71553148053,932.654063780202
5.3,"Familiar",4818.74885164317,952.915967720909
5.4,"Familiar",4764.7821718058,973.341418759867
5.5,"Familiar",4710.81549196843,993.920334077994
5.6,"Familiar",4656.84881213106,1014.64337606777
5.7,"Familiar",4602.8821322937,1035.50189173508
5.8,"Familiar",4548.91545245633,1056.48785703381
5.9,"Familiar",4494.94877261896,1077.59382580688
6,"Familiar",4440.98209278159,1098.81288300537
6.1,"Familiar",4387.01541294423,1120.1386018633
0.9,"Novel",6394.90990724011,552.20088170438
1,"Novel",6407.65452925679,542.342380774691
1.1,"Novel",6420.39915127348,533.370545960189
1.2,"Novel",6433.14377329016,525.33080786836
1.3,"Novel",6445.88839530684,518.266546458115
1.4,"Novel",6458.63301732352,512.21812320911
1.5,"Novel",6471.37763934021,507.221879845841
1.6,"Novel",6484.12226135689,503.309151644472
1.7,"Novel",6496.86688337357,500.505350568853
1.8,"Novel",6509.61150539025,498.829176022481
1.9,"Novel",6522.35612740694,498.292007600692
2,"Novel",6535.10074942362,498.897524458112
2.1,"Novel",6547.8453714403,500.641580440919
2.2,"Novel",6560.58999345698,503.512344740994
2.3,"Novel",6573.33461547366,507.490697088143
2.4,"Novel",6586.07923749035,512.550847272433
2.5,"Novel",6598.82385950703,518.661133624463
2.6,"Novel",6611.56848152371,525.784945685763
2.7,"Novel",6624.31310354039,533.881713276632
2.8,"Novel",6637.05772555708,542.907907031061
2.9,"Novel",6649.80234757376,552.818002914835
3,"Novel",6662.54696959044,563.565373546752
3.1,"Novel",6675.29159160712,575.103080551023
3.2,"Novel",6688.03621362381,587.384553203357
3.3,"Novel",6700.78083564049,600.364148254026
3.4,"Novel",6713.52545765717,613.997593447971
3.5,"Novel",6726.27007967385,628.242322750753
3.6,"Novel",6739.01470169053,643.057714761955
3.7,"Novel",6751.75932370722,658.405247563169
3.8,"Novel",6764.5039457239,674.24858368914
3.9,"Novel",6777.24856774058,690.553598411556
4,"Novel",6789.99318975727,707.288363424516
4.1,"Novel",6802.73781177395,724.423096592424
4.2,"Novel",6815.48243379063,741.930086869123
4.3,"Novel",6828.22705580731,759.783601962386
4.4,"Novel",6840.97167782399,777.959784888971
4.5,"Novel",6853.71629984068,796.436544291066
4.6,"Novel",6866.46092185736,815.193442284922
4.7,"Novel",6879.20554387404,834.211582687886
4.8,"Novel",6891.95016589072,853.473501710018
4.9,"Novel",6904.69478790741,872.963062583942
5,"Novel",6917.43940992409,892.665355121927
5.1,"Novel",6930.18403194077,912.566600812357
5.2,"Novel",6942.92865395745,932.654063780203
5.3,"Novel",6955.67327597414,952.91596772091
5.4,"Novel",6968.41789799082,973.341418759869
5.5,"Novel",6981.1625200075,993.920334077995
5.6,"Novel",6993.90714202418,1014.64337606777
5.7,"Novel",7006.65176404087,1035.50189173508
5.8,"Novel",7019.39638605755,1056.48785703381
5.9,"Novel",7032.14100807423,1077.59382580688
6,"Novel",7044.88563009091,1098.81288300537
6.1,"Novel",7057.63025210759,1120.1386018633
