"hpp","item_novel","fit","std_error"
0.9,"Novel",6394.90990710935,552.200881998522
1,"Novel",6407.65452913141,542.342381073217
1.1,"Novel",6420.39915115347,533.370546262833
1.2,"Novel",6433.14377317552,525.330808174798
1.3,"Novel",6445.88839519758,518.26654676796
1.4,"Novel",6458.63301721964,512.218123521915
1.5,"Novel",6471.3776392417,507.221880161102
1.6,"Novel",6484.12226126376,503.309151961636
1.7,"Novel",6496.86688328582,500.505350887327
1.8,"Novel",6509.61150530788,498.829176341638
1.9,"Novel",6522.35612732994,498.292007919888
2,"Novel",6535.100749352,498.8975247767
2.1,"Novel",6547.84537137406,500.641580758258
2.2,"Novel",6560.58999339612,503.512345056467
2.3,"Novel",6573.33461541817,507.490697401169
2.4,"Novel",6586.07923744023,512.550847582475
2.5,"Novel",6598.82385946229,518.661133931037
2.6,"Novel",6611.56848148435,525.784945988443
2.7,"Novel",6624.31310350641,533.881713575055
2.8,"Novel",6637.05772552847,542.907907324926
2.9,"Novel",6649.80234755053,552.818003203903
3,"Novel",6662.54696957259,563.565373830842
3.1,"Novel",6675.29159159465,575.10308083001
3.2,"Novel",6688.03621361671,587.384553477164
3.3,"Novel",6700.78083563876,600.364148522622
3.4,"Novel",6713.52545766082,613.997593711363
3.5,"Novel",6726.27007968288,628.242323008982
3.6,"Novel",6739.01470170494,643.057715015088
3.7,"Novel",6751.759323727,658.405247811297
3.8,"Novel",6764.50394574906,674.248583932374
3.9,"Novel",6777.24856777112,690.553598650021
4,"Novel",6789.99318979318,707.288363658348
4.1,"Novel",6802.73781181524,724.423096821767
4.2,"Novel",6815.4824338373,741.930087094128
4.3,"Novel",6828.22705585935,759.783602183206
4.4,"Novel",6840.97167788141,777.959785105761
4.5,"Novel",6853.71629990347,796.436544503981
4.6,"Novel",6866.46092192553,815.193442494117
4.7,"Novel",6879.20554394759,834.211582893514
4.8,"Novel",6891.95016596965,853.473501912228
4.9,"Novel",6904.69478799171,872.96306278288
5,"Novel",6917.43941001377,892.665355317735
5.1,"Novel",6930.18403203583,912.566601005174
5.2,"Novel",6942.92865405789,932.654063970163
5.3,"Novel",6955.67327607995,952.915967908142
5.4,"Novel",6968.417898102,973.341418944498
5.5,"Novel",6981.16252012406,993.920334260142
5.6,"Novel",6993.90714214612,1014.64337624755
5.7,"Novel",7006.65176416818,1035.5018919126
5.8,"Novel",7019.39638619024,1056.48785720919
5.9,"Novel",7032.1410082123,1077.59382598021
6,"Novel",7044.88563023436,1098.81288317675
6.1,"Novel",7057.63025225642,1120.13860203283
0.9,"Familiar",5596.53704986211,673.233299891795
1,"Familiar",5675.99297373822,654.795725362915
1.1,"Familiar",5755.44889761433,637.883788291972
1.2,"Familiar",5834.90482149044,622.621821268504
1.3,"Familiar",5914.36074536655,609.133857879796
1.4,"Familiar",5993.81666924266,597.540041213272
1.5,"Familiar",6073.27259311877,587.95243381809
1.6,"Familiar",6152.72851699488,580.470453644191
1.7,"Familiar",6232.18444087099,575.176277515852
1.8,"Familiar",6311.6403647471,572.130642792284
1.9,"Familiar",6391.09628862321,571.369507559385
2,"Familiar",6470.55221249931,572.901977180404
2.1,"Familiar",6550.00813637543,576.709767810118
2.2,"Familiar",6629.46406025153,582.748278984851
2.3,"Familiar",6708.91998412764,590.949131968084
2.4,"Familiar",6788.37590800375,601.2238485204
2.5,"Familiar",6867.83183187986,613.468234733755
2.6,"Familiar",6947.28775575597,627.567011216205
2.7,"Familiar",7026.74367963208,643.398283839918
2.8,"Familiar",7106.19960350819,660.837551347746
2.9,"Familiar",7185.6555273843,679.761065696057
3,"Familiar",7265.11145126041,700.048471995343
3.1,"Familiar",7344.56737513652,721.584741656592
3.2,"Familiar",7424.02329901263,744.26146963418
3.3,"Familiar",7503.47922288874,767.977636727964
3.4,"Familiar",7582.93514676485,792.63994687899
3.5,"Familiar",7662.39107064096,818.162844306811
3.6,"Familiar",7741.84699451707,844.468302402117
3.7,"Familiar",7821.30291839317,871.485460154923
3.8,"Familiar",7900.75884226928,899.150165602378
3.9,"Familiar",7980.21476614539,927.404471029739
4,"Familiar",8059.6706900215,956.196112212834
4.1,"Familiar",8139.12661389761,985.477994009886
4.2,"Familiar",8218.58253777372,1015.20769692038
4.3,"Familiar",8298.03846164983,1045.34701350166
4.4,"Familiar",8377.49438552594,1075.86151940159
4.5,"Familiar",8456.95030940205,1106.72018087826
4.6,"Familiar",8536.40623327816,1137.89499873192
4.7,"Familiar",8615.86215715427,1169.36068732314
4.8,"Familiar",8695.31808103038,1201.09438659766
4.9,"Familiar",8774.77400490649,1233.07540463582
5,"Familiar",8854.2299287826,1265.28498808015
5.1,"Familiar",8933.68585265871,1297.70611778862
5.2,"Familiar",9013.14177653482,1330.32332715504
5.3,"Familiar",9092.59770041093,1363.1225406916
5.4,"Familiar",9172.05362428703,1396.09093065316
5.5,"Familiar",9251.50954816315,1429.21678968039
5.6,"Familiar",9330.96547203925,1462.4894176364
5.7,"Familiar",9410.42139591536,1495.89902100188
5.8,"Familiar",9489.87731979147,1529.4366233722
5.9,"Familiar",9569.33324366758,1563.09398576405
6,"Familiar",9648.78916754369,1596.8635355888
6.1,"Familiar",9728.2450914198,1630.73830328364
