"hpp","item_center","fit","std_error"
0.9,"Novel",6794.09633573297,535.150592197691
1,"Novel",6773.485306828,526.599929123138
1.1,"Novel",6752.87427792303,518.828190398891
1.2,"Novel",6732.26324901807,511.870856495875
1.3,"Novel",6711.6522201131,505.761537766756
1.4,"Novel",6691.04119120814,500.531286949882
1.5,"Novel",6670.43016230317,496.20790211801
1.6,"Novel",6649.8191333982,492.815251194753
1.7,"Novel",6629.20810449324,490.372652452273
1.8,"Novel",6608.59707558827,488.894345961525
1.9,"Novel",6587.98604668331,488.389088258897
2,"Novel",6567.37501777834,488.859896416862
2.1,"Novel",6546.76398887337,490.303958678892
2.2,"Novel",6526.15295996841,492.71271776241
2.3,"Novel",6505.54193106344,496.072121138234
2.4,"Novel",6484.93090215848,500.363021488892
2.5,"Novel",6464.31987325351,505.561701430734
2.6,"Novel",6443.70884434854,511.640490394108
2.7,"Novel",6423.09781544358,518.568438728243
2.8,"Novel",6402.48678653861,526.31201454699
2.9,"Novel",6381.87575763365,534.835792038187
3,"Novel",6361.26472872868,544.103105128851
3.1,"Novel",6340.65369982371,554.076646641725
3.2,"Novel",6320.04267091875,564.7189995686
3.3,"Novel",6299.43164201378,575.993093162514
3.4,"Novel",6278.82061310882,587.862581769941
3.5,"Novel",6258.20958420385,600.292148454951
3.6,"Novel",6237.59855529888,613.247738459132
3.7,"Novel",6216.98752639392,626.696729472045
3.8,"Novel",6196.37649748895,640.608046713289
3.9,"Novel",6175.76546858399,654.952231138892
4,"Novel",6155.15443967902,669.701468873221
4.1,"Novel",6134.54341077405,684.829589405442
4.2,"Novel",6113.93238186909,700.312039320074
4.3,"Novel",6093.32135296412,716.125837465173
4.4,"Novel",6072.71032405916,732.249516579485
4.5,"Novel",6052.09929515419,748.663055555517
4.6,"Novel",6031.48826624922,765.34780574174
4.7,"Novel",6010.87723734426,782.286414001169
4.8,"Novel",5990.26620843929,799.462744651094
4.9,"Novel",5969.65517953432,816.861801908041
5,"Novel",5949.04415062936,834.469654046798
5.1,"Novel",5928.43312172439,852.273360143712
5.2,"Novel",5907.82209281943,870.260900002673
5.3,"Novel",5887.21106391446,888.421107647388
5.4,"Novel",5866.60003500949,906.743608596443
5.5,"Novel",5845.98900610453,925.218761009918
5.6,"Novel",5825.37797719956,943.837600700509
5.7,"Novel",5804.7669482946,962.591789932057
5.8,"Novel",5784.15591938963,981.473569878602
5.9,"Novel",5763.54489048466,1000.47571658338
6,"Novel",5742.9338615797,1019.59150023573
6.1,"Novel",5722.32283267473,1038.81464757194
0.9,"Novel",5995.72347848573,600.453817817128
1,"Novel",6041.82375143481,587.042227761499
1.1,"Novel",6087.9240243839,574.794298010244
1.2,"Novel",6134.02429733298,563.785873254095
1.3,"Novel",6180.12457028207,554.090836183529
1.4,"Novel",6226.22484323115,545.779183012809
1.5,"Novel",6272.32511618024,538.914925088908
1.6,"Novel",6318.42538912932,533.553928261168
1.7,"Novel",6364.52566207841,529.741833583257
1.8,"Novel",6410.62593502749,527.512221791368
1.9,"Novel",6456.72620797658,526.885182972786
2,"Novel",6502.82648092566,527.86642812283
2.1,"Novel",6548.92675387474,530.447032085137
2.2,"Novel",6595.02702682383,534.60383440693
2.3,"Novel",6641.12729977291,540.300456860015
2.4,"Novel",6687.227572722,547.488836059309
2.5,"Novel",6733.32784567108,556.111126971848
2.6,"Novel",6779.42811862017,566.101813705016
2.7,"Novel",6825.52839156925,577.389867787966
2.8,"Novel",6871.62866451834,589.900816556638
2.9,"Novel",6917.72893746742,603.558617973482
3,"Novel",6963.8292104165,618.287275699425
3.1,"Novel",7009.92948336559,634.012163337156
3.2,"Novel",7056.02975631467,650.661055568098
3.3,"Novel",7102.13002926376,668.164884749572
3.4,"Novel",7148.23030221284,686.458254519322
3.5,"Novel",7194.33057516193,705.479748248598
3.6,"Novel",7240.43084811101,725.172071432694
3.7,"Novel",7286.5311210601,745.482064967998
3.8,"Novel",7332.63139400918,766.360622160222
3.9,"Novel",7378.73166695827,787.762537324885
4,"Novel",7424.83193990735,809.64630872571
4.1,"Novel",7470.93221285643,831.973913809611
4.2,"Novel",7517.03248580552,854.710570481073
4.3,"Novel",7563.1327587546,877.824494606051
4.4,"Novel",7609.23303170369,901.286661043279
4.5,"Novel",7655.33330465277,925.070573212986
4.6,"Novel",7701.43357760186,949.152044448386
4.7,"Novel",7747.53385055094,973.508993046487
4.8,"Novel",7793.63412350003,998.12125195795
4.9,"Novel",7839.73439644911,1022.97039335638
5,"Novel",7885.8346693982,1048.03956784236
5.1,"Novel",7931.93494234728,1073.3133577146
5.2,"Novel",7978.03521529636,1098.77764353843
5.3,"Novel",8024.13548824545,1124.41948312763
5.4,"Novel",8070.23576119453,1150.22700200441
5.5,"Novel",8116.33603414362,1176.18929439482
5.6,"Novel",8162.4363070927,1202.29633383946
5.7,"Novel",8208.53658004179,1228.53889254045
5.8,"Novel",8254.63685299087,1254.90846861877
5.9,"Novel",8300.73712593996,1281.397220515
6,"Novel",8346.83739888904,1307.99790782782
6.1,"Novel",8392.93767183812,1334.7038379454
