"hpp","item","fit","std_error"
0.9,"Familiar",7066.7093775372,632.236439613315
1,"Familiar",7040.5756129712,604.360400980983
1.1,"Familiar",7014.44184840519,581.091311156595
1.2,"Familiar",6988.30808383919,563.000682467003
1.3,"Familiar",6962.17431927318,550.599186290493
1.4,"Familiar",6936.04055470717,544.275847671031
1.5,"Familiar",6909.90679014117,544.242566969094
1.6,"Familiar",6883.77302557516,550.500484988906
1.7,"Familiar",6857.63926100916,562.839795300364
1.8,"Familiar",6831.50549644315,580.873071594229
1.9,"Familiar",6805.37173187714,604.090601120143
2,"Familiar",6779.23796731114,631.921215302114
2.1,"Familiar",6753.10420274513,663.784926964245
2.2,"Familiar",6726.97043817913,699.130513645184
2.3,"Familiar",6700.83667361312,737.457497001321
2.4,"Familiar",6674.70290904711,778.325564006445
2.5,"Familiar",6648.56914448111,821.355493204538
2.6,"Familiar",6622.4353799151,866.225171521478
2.7,"Familiar",6596.3016153491,912.663294028187
2.8,"Familiar",6570.16785078309,960.44238124115
2.9,"Familiar",6544.03408621709,1009.37202558362
3,"Familiar",6517.90032165108,1059.2928033864
3.1,"Familiar",6491.76655708507,1110.07100651737
3.2,"Familiar",6465.63279251907,1161.59419533827
3.3,"Familiar",6439.49902795306,1213.7675019152
3.4,"Familiar",6413.36526338706,1266.51058491281
3.5,"Familiar",6387.23149882105,1319.75513396075
3.6,"Familiar",6361.09773425504,1373.44282897546
3.7,"Familiar",6334.96396968904,1427.52367204236
3.8,"Familiar",6308.83020512303,1481.95462243192
3.9,"Familiar",6282.69644055703,1536.69847744513
4,"Familiar",6256.56267599102,1591.72295238394
4.1,"Familiar",6230.42891142501,1646.99992186956
4.2,"Familiar",6204.29514685901,1702.50479208126
4.3,"Familiar",6178.161382293,1758.21597945468
4.4,"Familiar",6152.027617727,1814.1144761808
4.5,"Familiar",6125.89385316099,1870.18348669229
4.6,"Familiar",6099.76008859499,1926.40812239596
4.7,"Familiar",6073.62632402898,1982.7751443617
4.8,"Familiar",6047.49255946297,2039.27274563576
4.9,"Familiar",6021.35879489697,2095.89036641135
5,"Familiar",5995.22503033096,2152.61853654283
5.1,"Familiar",5969.09126576496,2209.44874089636
5.2,"Familiar",5942.95750119895,2266.37330383987
5.3,"Familiar",5916.82373663294,2323.38528982957
5.4,"Familiar",5890.68997206694,2380.47841757988
5.5,"Familiar",5864.55620750093,2437.64698573432
5.6,"Familiar",5838.42244293493,2494.88580830556
5.7,"Familiar",5812.28867836892,2552.19015844003
5.8,"Familiar",5786.15491380291,2609.55571929794
5.9,"Familiar",5760.02114923691,2666.97854103326
6,"Familiar",5733.8873846709,2724.45500301841
6.1,"Familiar",5707.7536201049,2781.98178059113
0.9,"Novel",6155.58739416124,632.236439613317
1,"Novel",6226.40322166685,604.360400980984
1.1,"Novel",6297.21904917245,581.091311156596
1.2,"Novel",6368.03487667806,563.000682467003
1.3,"Novel",6438.85070418366,550.599186290494
1.4,"Novel",6509.66653168927,544.275847671031
1.5,"Novel",6580.48235919488,544.242566969093
1.6,"Novel",6651.29818670048,550.500484988906
1.7,"Novel",6722.11401420609,562.839795300364
1.8,"Novel",6792.92984171169,580.873071594229
1.9,"Novel",6863.7456692173,604.090601120143
2,"Novel",6934.5614967229,631.921215302114
2.1,"Novel",7005.37732422851,663.784926964245
2.2,"Novel",7076.19315173412,699.130513645185
2.3,"Novel",7147.00897923972,737.457497001322
2.4,"Novel",7217.82480674533,778.325564006446
2.5,"Novel",7288.64063425093,821.35549320454
2.6,"Novel",7359.45646175654,866.225171521479
2.7,"Novel",7430.27228926215,912.663294028188
2.8,"Novel",7501.08811676775,960.442381241152
2.9,"Novel",7571.90394427336,1009.37202558362
3,"Novel",7642.71977177896,1059.2928033864
3.1,"Novel",7713.53559928457,1110.07100651737
3.2,"Novel",7784.35142679018,1161.59419533827
3.3,"Novel",7855.16725429578,1213.7675019152
3.4,"Novel",7925.98308180139,1266.51058491282
3.5,"Novel",7996.798909307,1319.75513396075
3.6,"Novel",8067.6147368126,1373.44282897547
3.7,"Novel",8138.43056431821,1427.52367204237
3.8,"Novel",8209.24639182381,1481.95462243193
3.9,"Novel",8280.06221932942,1536.69847744514
4,"Novel",8350.87804683502,1591.72295238395
4.1,"Novel",8421.69387434063,1646.99992186957
4.2,"Novel",8492.50970184624,1702.50479208127
4.3,"Novel",8563.32552935184,1758.21597945469
4.4,"Novel",8634.14135685745,1814.11447618081
4.5,"Novel",8704.95718436305,1870.1834866923
4.6,"Novel",8775.77301186866,1926.40812239597
4.7,"Novel",8846.58883937427,1982.77514436171
4.8,"Novel",8917.40466687987,2039.27274563577
4.9,"Novel",8988.22049438548,2095.89036641136
5,"Novel",9059.03632189108,2152.61853654284
5.1,"Novel",9129.85214939669,2209.44874089637
5.2,"Novel",9200.6679769023,2266.37330383988
5.3,"Novel",9271.4838044079,2323.38528982958
5.4,"Novel",9342.29963191351,2380.47841757989
5.5,"Novel",9413.11545941911,2437.64698573433
5.6,"Novel",9483.93128692472,2494.88580830557
5.7,"Novel",9554.74711443033,2552.19015844004
5.8,"Novel",9625.56294193593,2609.55571929796
5.9,"Novel",9696.37876944154,2666.97854103328
6,"Novel",9767.19459694714,2724.45500301842
6.1,"Novel",9838.01042445275,2781.98178059114
