"hpp","item_novel","fit","std_error"
0.9,"Novel",6155.58739415236,632.236439625069
1,"Novel",6226.40322165875,604.360400993203
1.1,"Novel",6297.21904916514,581.091311169233
1.2,"Novel",6368.03487667153,563.00068247998
1.3,"Novel",6438.85070417791,550.599186303703
1.4,"Novel",6509.6665316843,544.275847684341
1.5,"Novel",6580.48235919069,544.242566982359
1.6,"Novel",6651.29818669708,550.500485001982
1.7,"Novel",6722.11401420347,562.839795313125
1.8,"Novel",6792.92984170986,580.873071606573
1.9,"Novel",6863.74566921625,604.090601131999
2,"Novel",6934.56149672264,631.921215313442
2.1,"Novel",7005.37732422902,663.78492697503
2.2,"Novel",7076.19315173541,699.13051365543
2.3,"Novel",7147.0089792418,737.457497011046
2.4,"Novel",7217.82480674819,778.325564015676
2.5,"Novel",7288.64063425458,821.355493213307
2.6,"Novel",7359.45646176097,866.225171529817
2.7,"Novel",7430.27228926736,912.66329403613
2.8,"Novel",7501.08811677375,960.442381248728
2.9,"Novel",7571.90394428013,1009.37202559087
3,"Novel",7642.71977178652,1059.29280339334
3.1,"Novel",7713.53559929291,1110.07100652403
3.2,"Novel",7784.3514267993,1161.59419534467
3.3,"Novel",7855.16725430569,1213.76750192137
3.4,"Novel",7925.98308181208,1266.51058491877
3.5,"Novel",7996.79890931847,1319.75513396651
3.6,"Novel",8067.61473682485,1373.44282898104
3.7,"Novel",8138.43056433124,1427.52367204778
3.8,"Novel",8209.24639183763,1481.95462243719
3.9,"Novel",8280.06221934402,1536.69847745026
4,"Novel",8350.87804685041,1591.72295238894
4.1,"Novel",8421.6938743568,1646.99992187445
4.2,"Novel",8492.50970186319,1702.50479208604
4.3,"Novel",8563.32552936958,1758.21597945936
4.4,"Novel",8634.14135687597,1814.11447618539
4.5,"Novel",8704.95718438235,1870.1834866968
4.6,"Novel",8775.77301188874,1926.40812240039
4.7,"Novel",8846.58883939513,1982.77514436606
4.8,"Novel",8917.40466690152,2039.27274564006
4.9,"Novel",8988.22049440791,2095.89036641558
5,"Novel",9059.0363219143,2152.61853654701
5.1,"Novel",9129.85214942069,2209.44874090049
5.2,"Novel",9200.66797692707,2266.37330384396
5.3,"Novel",9271.48380443346,2323.38528983361
5.4,"Novel",9342.29963193985,2380.47841758388
5.5,"Novel",9413.11545944624,2437.64698573829
5.6,"Novel",9483.93128695263,2494.88580830949
5.7,"Novel",9554.74711445902,2552.19015844393
5.8,"Novel",9625.56294196541,2609.55571930182
5.9,"Novel",9696.3787694718,2666.97854103712
6,"Novel",9767.19459697818,2724.45500302225
6.1,"Novel",9838.01042448457,2781.98178059495
0.9,"Familiar",5244.4654107764,800.704028566764
1,"Familiar",5412.2308303544,750.035240176884
1.1,"Familiar",5579.9962499324,707.213256947455
1.2,"Familiar",5747.7616695104,673.735949202757
1.3,"Familiar",5915.5270890884,651.046447532687
1.4,"Familiar",6083.2925086664,640.292615600557
1.5,"Familiar",6251.0579282444,642.074450115526
1.6,"Familiar",6418.8233478224,656.289855582568
1.7,"Familiar",6586.5887674004,682.161973977516
1.8,"Familiar",6754.3541869784,718.432566141105
1.9,"Familiar",6922.11960655641,763.621342416624
2,"Familiar",7089.88502613441,816.248470900326
2.1,"Familiar",7257.65044571241,874.972792177536
2.2,"Familiar",7425.41586529041,938.650636288959
2.3,"Familiar",7593.18128486841,1006.34211683267
2.4,"Familiar",7760.94670444641,1077.29090981393
2.5,"Familiar",7928.71212402441,1150.89476572582
2.6,"Familiar",8096.47754360241,1226.67584484791
2.7,"Familiar",8264.24296318041,1304.2546929348
2.8,"Familiar",8432.00838275841,1383.3288795158
2.9,"Familiar",8599.77380233641,1463.65606715284
3,"Familiar",8767.53922191441,1545.04083637782
3.1,"Familiar",8935.30464149241,1627.32452153456
3.2,"Familiar",9103.07006107042,1710.37739106059
3.3,"Familiar",9270.83548064842,1794.09262594371
3.4,"Familiar",9438.60090022642,1878.38166788086
3.5,"Familiar",9606.36631980442,1963.17060877221
3.6,"Familiar",9774.13173938242,2048.39737287814
3.7,"Familiar",9941.89715896042,2134.00950429748
3.8,"Familiar",10109.6625785384,2219.96241878118
3.9,"Familiar",10277.4279981164,2306.2180136146
4,"Familiar",10445.1934176944,2392.74355520834
4.1,"Familiar",10612.9588372724,2479.51078336281
4.2,"Familiar",10780.7242568504,2566.49518561496
4.3,"Familiar",10948.4896764284,2653.67540590555
4.4,"Familiar",11116.2550960064,2741.03275996148
4.5,"Familiar",11284.0205155844,2828.55083595947
4.6,"Familiar",11451.7859351624,2916.21516373241
4.7,"Familiar",11619.5513547404,3004.0129393712
4.8,"Familiar",11787.3167743184,3091.93279483678
4.9,"Familiar",11955.0821938964,3179.96460433377
5,"Familiar",12122.8476134744,3268.09932085838
5.1,"Familiar",12290.6130330524,3356.32883763276
5.2,"Familiar",12458.3784526304,3444.64587015942
5.3,"Familiar",12626.1438722084,3533.04385543661
5.4,"Familiar",12793.9092917864,3621.51686551661
5.5,"Familiar",12961.6747113644,3710.05953310119
5.6,"Familiar",13129.4401309424,3798.66698727852
5.7,"Familiar",13297.2055505204,3887.3347978371
5.8,"Familiar",13464.9709700984,3976.05892685981
5.9,"Familiar",13632.7363896764,4064.83568651906
6,"Familiar",13800.5018092544,4153.66170217159
6.1,"Familiar",13968.2672288324,4242.53387999743
