"Participant","Location","Study","HPPprior","HPP","totalStudies","Item","LookingTime","HPPCenter","Study2"
"baby50996","Barcelona","Santolin",0,1,3,"Familiar",6541,-0.659574468085106,"Replication study"
"baby50996","Barcelona","Santolin",0,1,3,"Novel",4770.83,-0.659574468085106,"Replication study"
"baby51010","Barcelona","Santolin",0,1,1,"Familiar",7654.67,-0.659574468085106,"Replication study"
"baby51010","Barcelona","Santolin",0,1,1,"Novel",6785.17,-0.659574468085106,"Replication study"
"baby51274","Barcelona","Santolin",0,1,3,"Familiar",3580.25,-0.659574468085106,"Replication study"
"baby51274","Barcelona","Santolin",0,1,3,"Novel",4501.5,-0.659574468085106,"Replication study"
"baby51689","Barcelona","Santolin",0,1,2,"Familiar",7520.67,-0.659574468085106,"Replication study"
"baby51689","Barcelona","Santolin",0,1,2,"Novel",5052.83,-0.659574468085106,"Replication study"
"baby52110","Barcelona","Santolin",0,1,1,"Familiar",8974.83,-0.659574468085106,"Replication study"
"baby52110","Barcelona","Santolin",0,1,1,"Novel",11885.67,-0.659574468085106,"Replication study"
"baby53657","Barcelona","Santolin",0,1,3,"Familiar",9755.17,-0.659574468085106,"Replication study"
"baby53657","Barcelona","Santolin",0,1,3,"Novel",5585.33,-0.659574468085106,"Replication study"
"baby53858","Barcelona","Santolin",0,1,1,"Familiar",5321.17,-0.659574468085106,"Replication study"
"baby53858","Barcelona","Santolin",0,1,1,"Novel",4085.33,-0.659574468085106,"Replication study"
"baby53918","Barcelona","Santolin",0,1,1,"Familiar",8838.67,-0.659574468085106,"Replication study"
"baby53918","Barcelona","Santolin",0,1,1,"Novel",5154.67,-0.659574468085106,"Replication study"
"baby54153","Barcelona","Santolin",0,1,1,"Familiar",5755.17,-0.659574468085106,"Replication study"
"baby54153","Barcelona","Santolin",0,1,1,"Novel",7750.83,-0.659574468085106,"Replication study"
"baby54163","Barcelona","Santolin",0,1,1,"Familiar",6388,-0.659574468085106,"Replication study"
"baby54163","Barcelona","Santolin",0,1,1,"Novel",6548.5,-0.659574468085106,"Replication study"
"baby54177","Barcelona","Santolin",0,1,2,"Familiar",5053,-0.659574468085106,"Replication study"
"baby54177","Barcelona","Santolin",0,1,2,"Novel",3853.5,-0.659574468085106,"Replication study"
"baby54295","Barcelona","Santolin",0,1,2,"Familiar",7073.83,-0.659574468085106,"Replication study"
"baby54295","Barcelona","Santolin",0,1,2,"Novel",6306.33,-0.659574468085106,"Replication study"
"baby54489","Barcelona","Santolin",0,1,2,"Familiar",6584.83,-0.659574468085106,"Replication study"
"baby54489","Barcelona","Santolin",0,1,2,"Novel",8340.67,-0.659574468085106,"Replication study"
"baby54607","Barcelona","Santolin",1,2,2,"Familiar",5616.33,0.340425531914894,"Replication study"
"baby54607","Barcelona","Santolin",1,2,2,"Novel",5303,0.340425531914894,"Replication study"
"baby54711","Barcelona","Santolin",0,1,1,"Familiar",16625.5,-0.659574468085106,"Replication study"
"baby54711","Barcelona","Santolin",0,1,1,"Novel",15406.83,-0.659574468085106,"Replication study"
"baby54916","Barcelona","Santolin",0,1,1,"Familiar",9547.33,-0.659574468085106,"Replication study"
"baby54916","Barcelona","Santolin",0,1,1,"Novel",7556.67,-0.659574468085106,"Replication study"
"baby54953","Barcelona","Santolin",0,1,1,"Familiar",9747,-0.659574468085106,"Replication study"
"baby54953","Barcelona","Santolin",0,1,1,"Novel",7256,-0.659574468085106,"Replication study"
"baby54965","Barcelona","Santolin",0,1,1,"Familiar",9526.5,-0.659574468085106,"Replication study"
"baby54965","Barcelona","Santolin",0,1,1,"Novel",7345.33,-0.659574468085106,"Replication study"
