"Participant","Location","Study","HPPprior","HPP","totalStudies","Item","LookingTime","LogLookingTime","HPPCenter"
"baby50996","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,3,"Familiar",6541,8.78584533796121,-0.872549019607843
"baby50996","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,3,"Novel",4770.83,8.47027557293829,-0.872549019607843
"baby51010","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Familiar",7654.67,8.94307119808353,-0.872549019607843
"baby51010","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Novel",6785.17,8.82249462722407,-0.872549019607843
"baby51274","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,3,"Familiar",3580.25,8.18318790935881,-0.872549019607843
"baby51274","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,3,"Novel",4501.5,8.41216595354853,-0.872549019607843
"baby51689","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,2,"Familiar",7520.67,8.92541050871978,-0.872549019607843
"baby51689","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,2,"Novel",5052.83,8.52770376134579,-0.872549019607843
"baby52110","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Familiar",8974.83,9.10217927167291,-0.872549019607843
"baby52110","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Novel",11885.67,9.38308875178551,-0.872549019607843
"baby53657","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,3,"Familiar",9755.17,9.1855526798659,-0.872549019607843
"baby53657","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,3,"Novel",5585.33,8.62789879659749,-0.872549019607843
"baby53858","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Familiar",5321.17,8.5794484829678,-0.872549019607843
"baby53858","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Novel",4085.33,8.31515778738504,-0.872549019607843
"baby53918","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Familiar",8838.67,9.08689169182389,-0.872549019607843
"baby53918","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Novel",5154.67,8.54765837888307,-0.872549019607843
"baby54153","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Familiar",5755.17,8.65785386025054,-0.872549019607843
"baby54153","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Novel",7750.83,8.95555521338714,-0.872549019607843
"baby54163","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Familiar",6388,8.7621765093349,-0.872549019607843
"baby54163","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Novel",6548.5,8.78699129476946,-0.872549019607843
"baby54177","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,2,"Familiar",5053,8.52773740529191,-0.872549019607843
"baby54177","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,2,"Novel",3853.5,8.25673710521805,-0.872549019607843
"baby54295","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,2,"Familiar",7073.83,8.86415733781141,-0.872549019607843
"baby54295","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,2,"Novel",6306.33,8.74930916984901,-0.872549019607843
"baby54489","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,2,"Familiar",6584.83,8.79252379759509,-0.872549019607843
"baby54489","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,2,"Novel",8340.67,9.02889882785747,-0.872549019607843
"baby54607","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",1,2,2,"Familiar",5616.33,8.63343370466307,0.127450980392157
"baby54607","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",1,2,2,"Novel",5303,8.57602797713713,0.127450980392157
"baby54711","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Familiar",16625.5,9.71869294025977,-0.872549019607843
"baby54711","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Novel",15406.83,9.64256619657529,-0.872549019607843
"baby54916","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Familiar",9547.33,9.16401681323285,-0.872549019607843
"baby54916","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Novel",7556.67,8.93018589594497,-0.872549019607843
"baby54953","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Familiar",9747,9.18471482433721,-0.872549019607843
"baby54953","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Novel",7256,8.88958399179497,-0.872549019607843
"baby54965","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Familiar",9526.5,9.16183266791114,-0.872549019607843
"baby54965","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Novel",7345.33,8.90182001612153,-0.872549019607843
"baby55012","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",1,2,2,"Familiar",5160.83,8.54885269825338,0.127450980392157
"baby55012","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",1,2,2,"Novel",6029.5,8.70441936754365,0.127450980392157
"baby55015","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,2,"Familiar",8689,9.06981313683921,-0.872549019607843
"baby55015","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,2,"Novel",7587.33,8.93423502984492,-0.872549019607843
"baby55348","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Familiar",6477.67,8.77611615678505,-0.872549019607843
"baby55348","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Novel",5708,8.64962397859673,-0.872549019607843
"baby55503","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Familiar",4452.5,8.40122101516382,-0.872549019607843
"baby55503","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Novel",7180.33,8.87910062198888,-0.872549019607843
"baby55547","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Familiar",13596.67,9.51758018880159,-0.872549019607843
"baby55547","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Novel",8770.67,9.07916847925544,-0.872549019607843
"baby56526","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Familiar",9924.17,9.20272847485441,-0.872549019607843
"baby56526","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Novel",5094.33,8.53588343553772,-0.872549019607843
"baby10","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",8213.83,9.01357459793028,0.127450980392157
"baby10","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",6076.66,8.71221048191129,0.127450980392157
"baby11","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",3963.33,8.28483985997347,-0.872549019607843
"baby11","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",7730.33,8.95290683148525,-0.872549019607843
"baby15","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",7185.5,8.8798203855143,-0.872549019607843
"baby15","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",5717.5,8.65128692589694,-0.872549019607843
"baby23","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",4622,8.43858279083433,-0.872549019607843
"baby23","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",6755.17,8.81806341662093,-0.872549019607843
"baby25","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",3221,8.0774471493312,0.127450980392157
"baby25","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",3606,8.19035440376326,0.127450980392157
"baby30","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",3823.33,8.24887704961534,-0.872549019607843
"baby30","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",3548.67,8.17432816438408,-0.872549019607843
"baby39","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",3990.25,8.29160916456267,0.127450980392157
"baby39","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",5276.25,8.57097089709671,0.127450980392157
"baby49","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",9794.33,9.18955892579306,0.127450980392157
"baby49","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",9246.33,9.13198199502093,0.127450980392157
"baby53","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",5418.5,8.59757430336305,0.127450980392157
"baby53","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",7200.5,8.88190574703744,0.127450980392157
"baby54","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",9212.5,9.12831653649759,0.127450980392157
"baby54","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",13688.17,9.52428723513255,0.127450980392157
"baby58","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",3677.67,8.21003467846358,0.127450980392157
