"Item","HPP","fit","se","lower","upper"
"Familiar",1,7180.79879528585,660.809625433545,5877.06069446688,8484.53689610481
"Novel",1,6458.79669389937,660.809625433551,5155.05859308039,7762.53479471835
"Familiar",1.5,6904.63723022442,610.768159667349,5699.62796601617,8109.64649443267
"Novel",1.5,6496.59696375995,610.768159667352,5291.5876995517,7701.60622796821
"Familiar",2,6628.475665163,612.522276648698,5420.00563244615,7836.94569787985
"Novel",2,6534.39723362053,612.522276648697,5325.92720090369,7742.86726633738
"Familiar",2.5,6352.31410010158,665.662635760796,5039.00129845534,7665.62690174781
"Novel",2.5,6572.19750348112,665.662635760793,5258.88470183489,7885.51030512735
"Familiar",3,6076.15253504016,759.478347706346,4577.74691178342,7574.55815829689
"Novel",3,6609.9977733417,759.478347706342,5111.59215008497,8108.40339659842
