"Item","HPP","fit","se","lower","upper"
"Familiar",1,7657.33659157439,565.630610293184,6540.57940477942,8774.09377836937
"Novel",1,6826.81153536453,565.630610293185,5710.05434856955,7943.56872215951
"Familiar",1.5,7389.67396528512,508.981310183998,6384.76276396651,8394.58516660373
"Novel",1.5,6887.69324660203,508.981310183999,5882.78204528342,7892.60444792065
"Familiar",2,7122.01133899585,523.884847936967,6087.67522220869,8156.34745578301
"Novel",2,6948.57495783954,523.884847936968,5914.23884105238,7982.91107462669
"Familiar",2.5,6854.34871270658,605.076909693801,5659.71041844242,8048.98700697074
"Novel",2.5,7009.45666907704,605.0769096938,5814.81837481288,8204.0949633412
"Familiar",3,6586.68608641731,730.787364666769,5143.85037940429,8029.52179343033
"Novel",3,7070.33838031454,730.787364666767,5627.50267330152,8513.17408732757
