"hpp","item_center","fit","std_error"
0.9,"Novel",6721.38685816075,562.031936109991
1,"Novel",6713.19919468339,547.694923108686
1.1,"Novel",6705.01153120603,535.084391685331
1.2,"Novel",6696.82386772867,524.324927393538
1.3,"Novel",6688.63620425131,515.532441832679
1.4,"Novel",6680.44854077395,508.808916502489
1.5,"Novel",6672.26087729659,504.237121082587
1.6,"Novel",6664.07321381923,501.875862019305
1.7,"Novel",6655.88555034187,501.756348552097
1.8,"Novel",6647.69788686451,503.880175817419
1.9,"Novel",6639.51022338715,508.219220106834
2,"Novel",6631.32255990979,514.717461939025
2.1,"Novel",6623.13489643243,523.294469107645
2.2,"Novel",6614.94723295507,533.850056670502
2.3,"Novel",6606.75956947771,546.269540108445
2.4,"Novel",6598.57190600035,560.42901756443
2.5,"Novel",6590.38424252299,576.20022808128
2.6,"Novel",6582.19657904563,593.454688909232
2.7,"Novel",6574.00891556827,612.066972291868
2.8,"Novel",6565.82125209091,631.917111010188
2.9,"Novel",6557.63358861354,652.892209816549
3,"Novel",6549.44592513618,674.88738758815
3.1,"Novel",6541.25826165882,697.806190891658
3.2,"Novel",6533.07059818146,721.560614226304
3.3,"Novel",6524.8829347041,746.070845022979
3.4,"Novel",6516.69527122674,771.264829626446
3.5,"Novel",6508.50760774938,797.077734527108
3.6,"Novel",6500.31994427202,823.451357503143
3.7,"Novel",6492.13228079466,850.333527095938
3.8,"Novel",6483.9446173173,877.677516100198
3.9,"Novel",6475.75695383994,905.441485170056
4,"Novel",6467.56929036258,933.587965700526
4.1,"Novel",6459.38162688522,962.083386287012
4.2,"Novel",6451.19396340786,990.897643792166
4.3,"Novel",6443.0062999305,1020.00371793979
4.4,"Novel",6434.81863645314,1049.37732707729
4.5,"Novel",6426.63097297578,1078.99662204823
4.6,"Novel",6418.44330949842,1108.84191480746
4.7,"Novel",6410.25564602106,1138.89543835726
4.8,"Novel",6402.0679825437,1169.14113468941
4.9,"Novel",6393.88031906634,1199.56446761709
5,"Novel",6385.69265558898,1230.15225762944
5.1,"Novel",6377.50499211162,1260.89253616909
5.2,"Novel",6369.31732863426,1291.77441700081
5.3,"Novel",6361.1296651569,1322.78798259713
5.4,"Novel",6352.94200167954,1353.92418370591
5.5,"Novel",6344.75433820217,1385.17475048414
5.6,"Novel",6336.56667472482,1416.53211377951
5.7,"Novel",6328.37901124745,1447.98933531751
5.8,"Novel",6320.19134777009,1479.54004570764
5.9,"Novel",6312.00368429273,1511.17838931962
6,"Novel",6303.81602081537,1542.89897520073
6.1,"Novel",6295.62835733801,1574.6968333108
0.9,"Novel",5936.59238978987,641.061459178462
1,"Novel",5991.19709329691,618.688863536654
1.1,"Novel",6045.80179680395,598.813410199594
1.2,"Novel",6100.40650031099,581.691125560455
1.3,"Novel",6155.01120381804,567.571234143383
1.4,"Novel",6209.61590732508,556.682244236898
1.5,"Novel",6264.22061083212,549.216361027735
1.6,"Novel",6318.82531433916,545.314199652638
1.7,"Novel",6373.4300178462,545.052306127934
1.8,"Novel",6428.03472135324,548.435895468461
1.9,"Novel",6482.63942486028,555.398344804465
2,"Novel",6537.24412836733,565.807552384304
2.1,"Novel",6591.84883187437,579.477804759619
2.2,"Novel",6646.45353538141,596.184821203349
2.3,"Novel",6701.05823888845,615.681436140349
2.4,"Novel",6755.66294239549,637.711843650993
2.5,"Novel",6810.26764590254,662.023137970258
2.6,"Novel",6864.87234940958,688.373699260479
2.7,"Novel",6919.47705291662,716.538581940609
2.8,"Novel",6974.08175642366,746.312403712877
2.9,"Novel",7028.6864599307,777.510349392379
3,"Novel",7083.29116343774,809.967874572292
3.1,"Novel",7137.89586694479,843.539594338278
3.2,"Novel",7192.50057045183,878.097723231275
3.3,"Novel",7247.10527395887,913.530322880332
3.4,"Novel",7301.70997746591,949.739524843559
3.5,"Novel",7356.31468097295,986.639830043683
3.6,"Novel",7410.91938447999,1024.15653996717
3.7,"Novel",7465.52408798703,1062.22434421206
3.8,"Novel",7520.12879149408,1100.78606980026
3.9,"Novel",7574.73349500112,1139.79158640787
4,"Novel",7629.33819850816,1179.19685565066
4.1,"Novel",7683.9429020152,1218.96310988354
4.2,"Novel",7738.54760552224,1259.05614532785
4.3,"Novel",7793.15230902929,1299.4457148604
4.4,"Novel",7847.75701253633,1340.10500693065
4.5,"Novel",7902.36171604337,1381.01019847156
4.6,"Novel",7956.96641955041,1422.14007113036
4.7,"Novel",8011.57112305745,1463.47568155307
4.8,"Novel",8066.17582656449,1505.00007775086
4.9,"Novel",8120.78053007154,1546.6980547325
5,"Novel",8175.38523357858,1588.55594359998
5.1,"Novel",8229.98993708562,1630.56142918036
5.2,"Novel",8284.59464059266,1672.70339201692
5.3,"Novel",8339.1993440997,1714.97177118151
5.4,"Novel",8393.80404760674,1757.35744491105
5.5,"Novel",8448.40875111378,1799.8521265286
5.6,"Novel",8503.01345462083,1842.44827349509
5.7,"Novel",8557.61815812787,1885.13900776333
5.8,"Novel",8612.22286163491,1927.91804587931
5.9,"Novel",8666.82756514195,1970.77963750735
6,"Novel",8721.43226864899,2013.71851124989
6.1,"Novel",8776.03697215603,2056.7298267973
