"HPP","predicted","std.error","conf.low","conf.high","Item"
1,7139.32691088644,544.406395185427,6072.30998336972,8206.34383840315,"Familiar"
1,6401.04245130822,544.406395185426,5334.02552379151,7468.05937882493,"Novel"
2,6603.68067544129,500.910667055376,5621.91380854082,7585.44754234176,"Familiar"
2,6543.23324464163,500.910667055376,5561.46637774116,7525.00011154211,"Novel"
3,6068.03443999613,584.725708223654,4921.9931110431,7214.07576894917,"Familiar"
3,6685.42403797505,584.725708223654,5539.38270902201,7831.46536692809,"Novel"
4,5532.38820455098,754.557019437343,4053.4836221719,7011.29278693006,"Familiar"
4,6827.61483130846,754.557019437342,5348.71024892938,8306.51941368755,"Novel"
5,4996.74196910583,966.057928668567,3103.30322193608,6890.18071627559,"Familiar"
5,6969.80562464188,966.057928668565,5076.36687747213,8863.24437181163,"Novel"
