"Participant","Location","Study","HPPprior","HPP","totalStudies","Item","LookingTime","ItemCenter","ItemNovel"
"baby50996","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,3,0,6541,-0.5,-1
"baby50996","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,3,1,4770.83,0.5,0
"baby51010","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,0,7654.67,-0.5,-1
"baby51010","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,1,6785.17,0.5,0
"baby51274","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,3,0,3580.25,-0.5,-1
"baby51274","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,3,1,4501.5,0.5,0
"baby51689","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,2,0,7520.67,-0.5,-1
"baby51689","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,2,1,5052.83,0.5,0
"baby52110","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,0,8974.83,-0.5,-1
"baby52110","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,1,11885.67,0.5,0
"baby53657","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,3,0,9755.17,-0.5,-1
"baby53657","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,3,1,5585.33,0.5,0
"baby53858","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,0,5321.17,-0.5,-1
"baby53858","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,1,4085.33,0.5,0
"baby53918","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,0,8838.67,-0.5,-1
"baby53918","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,1,5154.67,0.5,0
"baby54153","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,0,5755.17,-0.5,-1
"baby54153","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,1,7750.83,0.5,0
"baby54163","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,0,6388,-0.5,-1
"baby54163","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,1,6548.5,0.5,0
"baby54177","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,2,0,5053,-0.5,-1
"baby54177","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,2,1,3853.5,0.5,0
"baby54295","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,2,0,7073.83,-0.5,-1
"baby54295","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,2,1,6306.33,0.5,0
"baby54489","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,2,0,6584.83,-0.5,-1
"baby54489","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,2,1,8340.67,0.5,0
"baby54607","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",1,2,2,0,5616.33,-0.5,-1
"baby54607","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",1,2,2,1,5303,0.5,0
"baby54711","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,0,16625.5,-0.5,-1
"baby54711","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,1,15406.83,0.5,0
"baby54916","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,0,9547.33,-0.5,-1
"baby54916","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,1,7556.67,0.5,0
"baby54953","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,0,9747,-0.5,-1
"baby54953","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,1,7256,0.5,0
"baby54965","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,0,9526.5,-0.5,-1
"baby54965","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,1,7345.33,0.5,0
"baby55012","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",1,2,2,0,5160.83,-0.5,-1
"baby55012","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",1,2,2,1,6029.5,0.5,0
"baby55015","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,2,0,8689,-0.5,-1
"baby55015","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,2,1,7587.33,0.5,0
