"HPP","predicted","std.error","conf.low","conf.high","Item"
1,7139.32691093678,544.406395062714,6072.30998366058,8206.34383821299,"Familiar"
1,6401.04245135857,544.406395062714,5334.02552408237,7468.05937863478,"Novel"
2,6603.68067547428,500.910666923703,5621.91380883188,7585.44754211667,"Familiar"
2,6543.23324467463,500.910666923703,5561.46637803223,7525.00011131702,"Novel"
3,6068.03444001177,584.725708110147,4921.9931112812,7214.07576874234,"Familiar"
3,6685.42403799068,584.725708110147,5539.38270926011,7831.46536672125,"Novel"
4,5532.38820454926,754.557019347161,4053.48362234693,7011.29278675159,"Familiar"
4,6827.61483130673,754.557019347161,5348.7102491044,8306.51941350906,"Novel"
5,4996.74196908675,966.057928595084,3103.30322206102,6890.18071611249,"Familiar"
5,6969.80562462278,966.057928595084,5076.36687759705,8863.24437164851,"Novel"
