"Participant","Location","Study","HPPprior","HPP","totalStudies","Item","LookingTime","ItemCenter","ItemNovel",".fitted",".resid",".scresid"
"baby50996","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,3,"Novel",6541,-0.5,-1,6405.96917703534,135.030822964658,0.0952043741303346
"baby50996","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,3,"Novel",4770.83,0.5,0,5667.68471745713,-896.854717457134,-0.632333345725757
"baby51010","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",7654.67,-0.5,-1,7595.27647396061,59.3935260393901,0.0418757980572616
"baby51010","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",6785.17,0.5,0,6856.9920143824,-71.8220143824019,-0.050638585901577
"baby51274","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,3,"Novel",3580.25,-0.5,-1,5177.85362956191,-1597.60362956191,-1.12640099735304
"baby51274","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,3,"Novel",4501.5,0.5,0,4439.5691699837,61.9308300162975,0.0436647409948537
"baby51689","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,2,"Novel",7520.67,-0.5,-1,6885.67139579797,634.998604202025,0.447709962506211
"baby51689","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,2,"Novel",5052.83,0.5,0,6147.38693621977,-1094.55693621977,-0.771724601649608
"baby52110","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",8974.83,-0.5,-1,10036.4891903765,-1061.65919037654,-0.748529828526416
"baby52110","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",11885.67,0.5,0,9298.20473079833,2587.46526920167,1.8243094882329
"baby53657","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,3,"Novel",9755.17,-0.5,-1,7937.7183171928,1817.4516828072,1.2814063202375
"baby53657","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,3,"Novel",5585.33,0.5,0,7199.43385761459,-1614.10385761459,-1.13803459218919
"baby53858","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",5321.17,-0.5,-1,5681.53962852027,-360.369628520273,-0.254080988218768
"baby53858","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",4085.33,0.5,0,4943.25516894207,-857.925168942065,-0.604885810265474
"baby53918","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",8838.67,-0.5,-1,7425.51176474385,1413.15823525615,0.996356553124938
"baby53918","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",5154.67,0.5,0,6687.22730516564,-1532.55730516564,-1.08053965645574
"baby54153","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",5755.17,-0.5,-1,7240.21919276244,-1485.04919276244,-1.04704374783164
"baby54153","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",7750.83,0.5,0,6501.93473318423,1248.89526681577,0.880541861635937
"baby54163","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",6388,-0.5,-1,7023.68839343669,-635.688393436688,-0.448196302964827
"baby54163","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",6548.5,0.5,0,6285.40393385848,263.09606614152,0.185497620196778
"baby54177","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,2,"Novel",5053,-0.5,-1,5491.43357116667,-438.433571166674,-0.309120486894874
"baby54177","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,2,"Novel",3853.5,0.5,0,4753.14911158847,-899.649111588466,-0.634303551775797
