Baby,Location,Familiar,Novel,Study,hpp_prior,hpp
baby15,Wisconsin,7185.5,5717.5,Syntax,0,1
baby11,Wisconsin,3963.33,7730.33,Syntax,0,1
baby25,Wisconsin,3221,3606,Syntax,1,2
baby28,Wisconsin,5842.83,6909,Syntax,3,4
baby30,Wisconsin,3823.33,3548.67,Syntax,0,1
baby31,Wisconsin,3233.33,5900.67,Syntax,3,4
baby39,Wisconsin,3990.25,5276.25,Syntax,1,2
baby49,Wisconsin,9794.33,9246.33,Syntax,1,2
baby53,Wisconsin,5418.5,7200.5,Syntax,1,2
baby54,Wisconsin,9212.5,13688.17,Syntax,1,2
baby58,Wisconsin,3677.67,3126.33,Syntax,1,2
baby67,Wisconsin,5487.83,4278,Syntax,2,3
baby74,Wisconsin,9978.5,12574.17,Syntax,1,2
baby71,Wisconsin,6400.83,5990.33,Syntax,2,3
baby70,Wisconsin,5046,4976.67,Syntax,0,1
baby78,Wisconsin,3295.67,5736.33,Syntax,1,2
baby79,Wisconsin,5031.5,9209.67,Syntax,2,3
baby86,Wisconsin,5223.17,3526.83,Syntax,1,2
baby84,Wisconsin,4039.33,4202.83,Syntax,0,1
baby88,Wisconsin,7439.83,6834.83,Syntax,1,2
baby97,Wisconsin,7692.5,12255.67,Syntax,1,2
baby93,Wisconsin,4049,4063.67,Syntax,0,1
baby94,Wisconsin,5295.83,5165.67,Syntax,0,1
baby98,Wisconsin,4299.67,4074,Syntax,0,1
baby10,Wisconsin,8213.83,6076.66,Syntax,1,2
baby23,Wisconsin,4622,6755.17,Syntax,0,1
baby50996,Barcelona,6541,4770.83,Syntax,0,1
baby51010,Barcelona,7654.67,6785.17,Syntax,0,1
baby51689,Barcelona,7520.67,5052.83,Syntax,0,1
baby51274,Barcelona,3580.25,4501.5,Syntax,0,1
baby52110,Barcelona,8974.83,11885.67,Syntax,0,1
baby55348,Barcelona,6477.67,5708,Syntax,0,1
baby53657,Barcelona,9755.17,5585.33,Syntax,0,1
baby53918,Barcelona,8838.67,5154.67,Syntax,0,1
baby54163,Barcelona,6388,6548.5,Syntax,0,1
baby54177,Barcelona,5053,3853.5,Syntax,0,1
baby54153,Barcelona,5755.17,7750.83,Syntax,0,1
baby53858,Barcelona,5321.17,4085.33,Syntax,0,1
baby54295,Barcelona,7073.83,6306.33,Syntax,0,1
baby54489,Barcelona,6584.83,8340.67,Syntax,0,1
baby55547,Barcelona,13596.67,8770.67,Syntax,0,1
baby54711,Barcelona,16625.5,15406.83,Syntax,0,1
baby56526,Barcelona,9924.17,5094.33,Syntax,0,1
baby55503,Barcelona,4452.5,7180.33,Syntax,0,1
baby54916,Barcelona,9547.33,7556.67,Syntax,0,1
baby54953,Barcelona,9747,7256,Syntax,0,1
baby54965,Barcelona,9526.5,7345.33,Syntax,0,1
baby55015,Barcelona,8689,7587.33,Syntax,0,1
baby54607,Barcelona,5616.33,5303,Syntax,1,2
baby55012,Barcelona,5160.83,6029.5,Syntax,1,2
