Participant,Location,Familiar,Novel,Study,HPPprior,HPP,totalStudies
baby50996,barcelona,6541,4770.83,Syntax,0,1,3
baby51010,barcelona,7654.67,6785.17,Syntax,0,1,1
baby51274,barcelona,3580.25,4501.5,Syntax,0,1,3
baby51689,barcelona,7520.67,5052.83,Syntax,0,1,2
baby52110,barcelona,8974.83,11885.67,Syntax,0,1,1
baby53657,barcelona,9755.17,5585.33,Syntax,0,1,3
baby53858,barcelona,5321.17,4085.33,Syntax,0,1,1
baby53918,barcelona,8838.67,5154.67,Syntax,0,1,1
baby54153,barcelona,5755.17,7750.83,Syntax,0,1,1
baby54163,barcelona,6388,6548.5,Syntax,0,1,1
baby54177,barcelona,5053,3853.5,Syntax,0,1,2
baby54295,barcelona,7073.83,6306.33,Syntax,0,1,2
baby54489,barcelona,6584.83,8340.67,Syntax,0,1,2
baby54607,barcelona,5616.33,5303,Syntax,1,2,2
baby54711,barcelona,16625.5,15406.83,Syntax,0,1,1
baby54916,barcelona,9547.33,7556.67,Syntax,0,1,1
baby54953,barcelona,9747,7256,Syntax,0,1,1
baby54965,barcelona,9526.5,7345.33,Syntax,0,1,1
baby55012,barcelona,5160.83,6029.5,Syntax,1,2,2
baby55015,barcelona,8689,7587.33,Syntax,0,1,2
baby55348,barcelona,6477.67,5708,Syntax,0,1,1
baby55503,barcelona,4452.5,7180.33,Syntax,0,1,1
baby55547,barcelona,13596.67,8770.67,Syntax,0,1,1
baby56526,barcelona,9924.17,5094.33,Syntax,0,1,1
baby10,wisconsin,8213.83,6076.66,Syntax,1,2,2
baby11,wisconsin,3963.33,7730.33,Syntax,0,1,1
baby15,wisconsin,7185.5,5717.5,Syntax,0,1,1
baby23,wisconsin,4622,6755.17,Syntax,0,1,1
baby25,wisconsin,3221,3606,Syntax,1,2,2
baby28,wisconsin,5842.83,6909,Syntax,3,4,4
baby30,wisconsin,3823.33,3548.67,Syntax,0,1,1
baby31,wisconsin,3233.33,5900.67,Syntax,3,4,4
baby39,wisconsin,3990.25,5276.25,Syntax,1,2,2
baby49,wisconsin,9794.33,9246.33,Syntax,1,2,2
baby53,wisconsin,5418.5,7200.5,Syntax,1,2,2
baby54,wisconsin,9212.5,13688.17,Syntax,1,2,2
baby58,wisconsin,3677.67,3126.33,Syntax,1,2,2
baby67,wisconsin,5487.83,4278,Syntax,1,2,3
baby70,wisconsin,5046,4976.67,Syntax,0,1,1
baby71,wisconsin,6400.83,5990.33,Syntax,1,2,3
baby74,wisconsin,9978.5,12574.17,Syntax,1,2,2
baby78,wisconsin,3295.67,5736.33,Syntax,1,2,2
baby79,wisconsin,5031.5,9209.67,Syntax,1,2,3
baby84,wisconsin,4039.33,4202.83,Syntax,0,1,1
baby86,wisconsin,5223.17,3526.83,Syntax,1,2,2
baby88,wisconsin,7439.83,6834.83,Syntax,1,2,2
baby93,wisconsin,4049,4063.67,Syntax,0,1,1
baby94,wisconsin,5295.83,5165.67,Syntax,0,1,1
baby97,wisconsin,7692.5,12255.67,Syntax,1,2,2
baby98,wisconsin,4299.67,4074,Syntax,0,1,1
SS2F1.A,wisconsin,8231.5,9483.5,Saffran & Wilson,3,4,4
SS2F1.B,wisconsin,7067,7583.5,Saffran & Wilson,2,3,3
SS2F11.A,wisconsin,6765,7326.5,Saffran & Wilson,1,2,2
SS2F12.A,wisconsin,11010,9173,Saffran & Wilson,0,1,1
SS2F12.B,wisconsin,7725,6292.5,Saffran & Wilson,0,1,1
SS2F13.A,wisconsin,4980,7354,Saffran & Wilson,1,2,2
SS2F14.A,wisconsin,5420,5339,Saffran & Wilson,2,3,3
SS2F14.B,wisconsin,10073.5,9777,Saffran & Wilson,1,2,2
SS2F15.A,wisconsin,9707,7675,Saffran & Wilson,1,2,2
SS2F15.B,wisconsin,6853.5,10391,Saffran & Wilson,2,3,3
SS2F18.A,wisconsin,7505,7796.5,Saffran & Wilson,0,1,1
SS2F19.B,wisconsin,8667.5,7565,Saffran & Wilson,0,1,1
SS2F20.B,wisconsin,11800,8537.5,Saffran & Wilson,0,1,1
SS2F21.B,wisconsin,8320,7415,Saffran & Wilson,0,1,1
SS2F22.B,wisconsin,5276,6030,Saffran & Wilson,1,2,2
SS2F23.B,wisconsin,6991.5,7017.5,Saffran & Wilson,0,1,1
SS2F25.B,wisconsin,9338,8330,Saffran & Wilson,0,1,1
SS2F3.A,wisconsin,11133.5,9431.5,Saffran & Wilson,2,3,3
SS2F3.B,wisconsin,8056.5,7275,Saffran & Wilson,1,2,2
SS2F6.A,wisconsin,9047.5,5392.5,Saffran & Wilson,1,2,2
SS2F7.B,wisconsin,6802.5,7298.5,Saffran & Wilson,2,3,3
SS2F8.A,wisconsin,5070,4053.5,Saffran & Wilson,2,3,3
SS2M1.B,wisconsin,5165,5928.5,Saffran & Wilson,4,5,5
SS2M10.A,wisconsin,5634,6546.5,Saffran & Wilson,2,3,3
SS2M13.B,wisconsin,13156.5,7003.5,Saffran & Wilson,1,2,2
SS2M15.B,wisconsin,5688.5,4595,Saffran & Wilson,1,2,2
SS2M17.A,wisconsin,10391.5,7085,Saffran & Wilson,0,1,1
SS2M18.A,wisconsin,9680,7405,Saffran & Wilson,2,3,3
SS2M19.A,wisconsin,8078.5,3889,Saffran & Wilson,0,1,1
SS2M2.A,wisconsin,4985,6348.5,Saffran & Wilson,3,4,4
SS2M2.B,wisconsin,5697.5,4590,Saffran & Wilson,1,2,2
SS2M24.A,wisconsin,7537.5,4530,Saffran & Wilson,0,1,1
SS2M25.A,wisconsin,5707.5,5630,Saffran & Wilson,0,1,1
SS2M27.A,wisconsin,8417.5,7303.5,Saffran & Wilson,1,2,2
SS2M28.A,wisconsin,8960,10061.5,Saffran & Wilson,0,1,1
SS2M4.B,wisconsin,9695,8819,Saffran & Wilson,1,2,2
